public,performance,q1,q2,q3,q4,q5,q6,q7,q8,q9,age,white,ideology,religion,gender,group,effectiveness,benevolence,redtape,efficiency
1,0,7,6,5,4,5,4,3,5,6,19,1,4,1,1,2,.31184497,.039209649,-.043507528,.013844917
0,0,6,5,5,5,6,4,4,6,5,21,1,3,3,0,0,-.36951497,.11208688,.3504191,.15695149
0,0,5,6,6,7,7,4,4,6,6,18,1,3,4,0,0,-.068307906,.46617436,.97177237,.021663833
0,1,7,7,7,4,3,2,4,6,6,18,1,4,1,0,1,1.2998775,.32390994,-.87910509,-.45857301
0,0,6,6,6,3,2,6,6,6,6,19,0,2,3,0,0,.35666963,.46733886,-1.4854345,1.2787308
0,0,6,6,6,6,6,3,2,7,7,19,0,2,2,0,0,.086284213,1.2715451,.56542969,-.67727518
1,0,7,7,7,4,5,4,4,4,4,19,0,3,2,1,2,1.5527092,-1.3355167,-.21851318,.12491227
1,0,6,6,5,6,5,4,4,6,6,21,0,2,3,0,2,-.065574229,.48126727,.29977959,.11311503
0,1,6,6,6,3,5,4,4,6,6,19,1,5,1,0,1,.31482452,.44273064,-.58647072,.19787236
0,0,5,6,6,6,6,4,2,6,6,19,0,2,2,0,0,-.098403998,.5014081,.56436032,-.49318796
0,1,5,5,5,5,5,5,5,5,5,18,1,4,1,0,1,-.60186058,-.24160722,.032694604,.63268638
0,0,6,5,5,5,6,4,4,6,6,21,1,2,4,0,0,-.43674529,.52629566,.35614377,.20596312
0,0,7,7,5,6,6,4,4,5,4,19,0,3,2,0,0,.82799983,-.87170416,.61847079,.095189355
0,1,5,6,5,6,6,3,4,3,7,19,1,2,1,0,1,-.28369349,-.29084978,.71758306,-.17672935
1,1,6,6,6,3,3,2,2,6,4,19,1,3,1,1,3,.38753495,-.34214258,-.98733312,-1.0848272
0,1,7,7,7,1,7,4,4,7,7,21,0,2,4,0,1,1.2663658,1.0916657,-.75325418,.37616006
0,0,6,7,7,6,7,4,4,6,6,18,1,3,3,0,0,.97337312,.32422274,.63966876,.088517494
0,1,7,7,7,4,5,4,3,5,5,19,1,4,1,1,1,1.4100605,-.50478262,-.22469372,-.10129141
0,0,7,7,7,4,4,4,4,4,4,18,0,3,2,1,0,1.5487282,-1.3218862,-.47618854,.10414869
1,0,6,6,6,6,3,3,2,6,6,19,1,4,1,1,2,.19343586,.49309906,-.1367114,-.77676183
0,0,5,5,6,6,6,4,3,4,6,19,1,3,1,1,0,-.36726618,-.26039723,.73070961,-.16678339
1,0,7,6,6,6,5,3,4,6,6,20,1,4,1,0,2,.5556289,.39709926,.32292038,-.1215437
0,0,7,7,7,7,7,4,4,6,7,19,1,3,2,0,0,1.192273,.69367546,.99822903,.19170997
1,1,4,4,6,3,5,3,3,4,4,20,0,3,3,0,3,-.8804161,-.97621381,-.37344301,-.54313058
0,1,7,7,7,7,7,4,4,3,3,18,1,4,1,0,1,1.6167874,-2.178546,1.2051593,.031110616
0,0,4,4,4,4,2,4,2,4,6,20,1,5,1,1,0,-1.7028669,-.021128863,-.69180697,-.46858248
